Количество вершин;Количество рёбер;Дейкстра;Форд-Беллман;Флойд-Уоршел
10;45;10138;8001;6962
60;1770;118585;1985536;1425514
110;5995;272927;12004206;8185857
160;12720;484786;38040047;29649975
210;21945;802337;89715989;59997164
260;33670;1116500;169147191;113235213
310;47895;1474554;293388816;192924215
360;64620;1919445;457767595;303393087
410;83845;2598008;654629173;435362639
460;105570;2882247;958896450;631547469
510;129795;3231628;1259317730;831613129
560;156520;3900169;1739055616;1170968340
610;185745;4546561;2190624916;1472839160
660;217470;5384816;2875638969;1898708098
710;251695;6152561;3484274511;2416496454
760;288420;6764815;4330760330;2866714018
810;327645;7451358;5305482705;3581747394
860;369370;7846906;6178579397;4208043579
910;413595;8888042;7420800171;5035343576
960;460320;9579882;8795886144;5825568837
1010;509545;11232330;10266921497;6818188819
