Количество вершин;Количество рёбер;Дейкстра;Форд-Беллман;Флойд-Уоршел;
10;9;4532;2294;7062
60;59;30413;86471;1159962
110;109;65500;264389;7716518
160;159;103832;614026;23421335
210;209;135039;1016325;53816370
260;259;167916;1597989;92751791
310;309;228658;2217358;158874140
360;359;246821;2887573;251003941
410;409;286388;3760439;362897619
460;459;319271;4805768;514247827
510;509;360856;5887277;713126778
560;559;521343;7408069;941982356
610;609;449367;8443080;1234696713
660;659;490467;9502095;1565673146
710;709;514157;11225054;1964690123
760;759;571939;12507913;2369289824
810;809;610881;14218952;2920609509
860;859;670525;16091289;3530729633
910;909;707817;17921337;4150378311
960;959;763854;19922660;4902141575
1010;1009;826347;22339438;5744312286
